Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,EURUSD_CALL,EURUSD_PUT,XAUUSD_CALL,XAUUSD_PUT
28.01.08,1614.14,1595.47,1802.66,2257.25,1928.11,-4866.83,-4032.09,1873.03,2344.7,2657.47,1503.63,1607.49,1512.51,1341.92,383.6,-99.8
04.02.08,1718.79,1700.34,1405.74,1715.67,2078.17,1782.54,1437.07,1642.47,2105.99,-3249.69,1300.06,1588.96,-8889.02,1091.05,345.08,343.77
11.02.08,1717.56,1683.86,1717.56,1956.14,1972.14,1696.89,1360.04,1549.26,2418.41,2735.48,1573.4,1748.35,1449.91,1256.15,368.89,355
18.02.08,1738.24,1678.7,1464.64,1666.22,1873.31,1616.43,-499.51,1744.81,2050.67,2350.75,1323.75,-1631.47,1388.84,-113.04,-1272.45,323.63
25.02.08,1640.23,1626.34,1469.76,-34218.38,1991.89,1739.99,1471.28,1647.39,-5962.09,1992.13,1269.33,-41004.28,1265.89,-18884.99,-1245.74,340.36
03.03.08,1876.78,1802.41,1919.43,2463.03,748.81,1818.37,1862.05,2117.06,-10291.53,2488.47,1711.33,-1213.3,1545.3,1428.25,390.82,361.59
10.03.08,1909.26,1891.15,1971.13,-23454.67,2087.52,1784.92,1458.56,1697.46,2223.34,2436.19,1880.84,-10917.95,1531.91,-11037.78,405.85,381.89
17.03.08,-6052.61,2114.28,-5566.67,3335,2405.96,2099.36,1702.93,1927.44,2606.48,2856.61,-8213.24,2545.26,-144.06,2014.98,433.26,-4854.66
24.03.08,1925.67,1825.32,2253.77,2801.5,2088.92,1806.79,1158.61,1193.75,2659.15,2901.26,2075.91,-3810.44,1914.12,-8795.46,0.01,0
31.03.08,1760.43,-128.06,-6855.05,2993.22,2183.91,2022.93,1808.45,1911.27,2473.05,2796.68,-1739.7,2375.9,1874.69,1731.98,393.55,334.8
07.04.08,1619.29,1581.79,1828.85,2257.45,1691.19,1534.07,1384.46,1487.96,2062.16,2396.07,1795.63,1967.56,1560.58,1396.68,378.84,332.45
14.04.08,1609.18,-1366.99,-3823.97,2672.42,1876.88,-1191.26,1289.18,1477.84,2017.95,2329.78,1938.47,2072.87,1592.56,1481.06,346.05,327.57
21.04.08,1682.92,1664.96,1897.27,2206.9,1500.16,1386.99,1106.15,1207.27,2178.38,2589.86,-8301.1,2051.64,-4328.01,1497.81,325.41,196.04
28.04.08,1705.37,1642.48,1714.35,1988.43,1531.53,1376.49,1164.85,1309.22,2199.24,1039.38,-2759.43,1964.34,1556.13,1407.9,281.9,202.82
05.05.08,1494.91,1456.76,1274.94,1513.71,1472.9,1320.27,1038.4,-5296.87,1998.98,2268.06,1614.73,1767.16,1397.06,1243.88,252.51,244.47
12.05.08,1563.87,264.81,1724.03,2106.83,1559.34,1363.48,1288.86,1454.72,2069.73,2357.94,1653.75,1829.72,1512.1,1374.19,181.46,229.32
19.05.08,1424.26,1413.7,1479.61,1789.68,1500.36,1284.62,-5032.9,1268.24,-13214.92,2137.05,1464.65,-12451.02,1324.4,-5274.67,278.76,265.82
26.05.08,1296.99,1321.88,1630.89,1987.3,1402.18,1279.36,1087.34,1184.73,1909.45,2052.62,-3701.31,1696.8,-3980.87,1227.68,271.14,-1632.46
02.06.08,-7839.43,1433.65,-1228.63,1909.05,1436.52,1290.49,1097.6,-9283.41,2083.23,2297.64,1466.79,1684.45,1298.07,1233.22,238.43,231.61
